CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
1,4-Winback,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding
347,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention
58,3-Retention,3-Retention,1-Active Customer,3-Retention,1-Active Customer,3-Retention
1,3-Retention,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
457,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
13,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,3-Retention,3-Retention
5,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer
101,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
100,1-Active Customer,3-Retention,1-Active Customer,3-Retention,1-Active Customer,3-Retention
9,1-Active Customer,1-Active Customer,3-Retention,2-Onboarding,3-Retention,3-Retention
2,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer
1574,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
34,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
40,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding
7,4-Winback,4-Winback,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding
10,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
4,4-Winback,4-Winback,3-Retention,1-Active Customer,2-Onboarding,2-Onboarding
56,3-Retention,1-Active Customer,1-Active Customer,3-Retention,3-Retention,1-Active Customer
24,4-Winback,1-Active Customer,3-Retention,3-Retention,3-Retention,3-Retention
764,1-Active Customer,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer
1416,3-Retention,3-Retention,3-Retention,4-Winback,4-Winback,2-Onboarding
1,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,2-Onboarding,1-Active Customer
70,3-Retention,1-Active Customer,3-Retention,1-Active Customer,3-Retention,1-Active Customer
3,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer
1682,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
40,4-Winback,4-Winback,4-Winback,4-Winback,3-Retention,1-Active Customer
108,4-Winback,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer
668,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention,1-Active Customer
4151,4-Winback,4-Winback,4-Winback,4-Winback,1-Active Customer,1-Active Customer
636,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,1-Active Customer
1,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,3-Retention
4490,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback,1-Active Customer
969,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention
7,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer,2-Onboarding
25,4-Winback,4-Winback,4-Winback,1-Active Customer,3-Retention,3-Retention
4,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
643,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
35,3-Retention,1-Active Customer,3-Retention,3-Retention,1-Active Customer,3-Retention
102,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer
137081,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention
2,3-Retention,3-Retention,4-Winback,3-Retention,2-Onboarding,2-Onboarding
10,3-Retention,3-Retention,4-Winback,1-Active Customer,2-Onboarding,2-Onboarding
144,4-Winback,4-Winback,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer
3,4-Winback,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer
10,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,3-Retention,3-Retention
875,4-Winback,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention
2,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
3915,4-Winback,4-Winback,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer
2,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer
1933,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
43211,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
25,3-Retention,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention
34,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding
71,3-Retention,1-Active Customer,3-Retention,1-Active Customer,3-Retention,3-Retention
12,3-Retention,3-Retention,2-Onboarding,3-Retention,3-Retention,3-Retention
5,3-Retention,3-Retention,3-Retention,2-Onboarding,2-Onboarding,1-Active Customer
147,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,3-Retention
1176,3-Retention,3-Retention,3-Retention,3-Retention,4-Winback,2-Onboarding
6,4-Winback,4-Winback,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer
1006,3-Retention,3-Retention,3-Retention,1-Active Customer,1-Active Customer,3-Retention
78,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,3-Retention,3-Retention
19816,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer,1-Active Customer
2,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,3-Retention,3-Retention
4,3-Retention,3-Retention,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer
1,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
73,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,3-Retention,3-Retention
33,3-Retention,3-Retention,4-Winback,3-Retention,3-Retention,3-Retention
3,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer
7,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding
7,1-Active Customer,3-Retention,2-Onboarding,3-Retention,3-Retention,3-Retention
2,3-Retention,3-Retention,3-Retention,3-Retention,2-Onboarding,1-Active Customer
15,2-Onboarding,1-Active Customer,2-Onboarding,3-Retention,3-Retention,3-Retention
1,2-Onboarding,3-Retention,1-Active Customer,3-Retention,1-Active Customer,3-Retention
226,1-Active Customer,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention
135108,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention,3-Retention
264,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,3-Retention
41,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer
795,3-Retention,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
1,4-Winback,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer
1553,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer
17,3-Retention,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,3-Retention
1,1-Active Customer,3-Retention,1-Active Customer,2-Onboarding,3-Retention,3-Retention
21008,1-Active Customer,1-Active Customer,3-Retention,3-Retention,3-Retention,3-Retention
24,4-Winback,4-Winback,4-Winback,1-Active Customer,1-Active Customer,3-Retention
12,3-Retention,3-Retention,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer
2,2-Onboarding,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
673,2-Onboarding,2-Onboarding,3-Retention,3-Retention,1-Active Customer,1-Active Customer
12,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer
3,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding
2198,3-Retention,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
9497733,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback
103,4-Winback,4-Winback,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding
3,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,3-Retention
250,3-Retention,3-Retention,4-Winback,4-Winback,4-Winback,1-Active Customer
30,4-Winback,4-Winback,4-Winback,3-Retention,2-Onboarding,2-Onboarding
2,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,2-Onboarding
13,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer
21,4-Winback,4-Winback,4-Winback,4-Winback,1-Active Customer,3-Retention
157555,3-Retention,3-Retention,3-Retention,3-Retention,4-Winback,4-Winback
4,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,2-Onboarding
1,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding
184,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
15,3-Retention,3-Retention,4-Winback,1-Active Customer,1-Active Customer,2-Onboarding
98633,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
119,4-Winback,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
468,4-Winback,4-Winback,4-Winback,4-Winback,1-Active Customer,2-Onboarding
20656,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,3-Retention,3-Retention
199,3-Retention,4-Winback,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer
39,1-Active Customer,3-Retention,1-Active Customer,3-Retention,3-Retention,1-Active Customer
34,3-Retention,3-Retention,3-Retention,3-Retention,4-Winback,3-Retention
9,3-Retention,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
1,2-Onboarding,3-Retention,1-Active Customer,3-Retention,3-Retention,1-Active Customer
5,3-Retention,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
42,4-Winback,4-Winback,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
3,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer
28915,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback,2-Onboarding
749,3-Retention,3-Retention,3-Retention,3-Retention,2-Onboarding,2-Onboarding
3,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer
61,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
951,3-Retention,3-Retention,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding
165,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,3-Retention
156,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,3-Retention,3-Retention
1,3-Retention,4-Winback,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
154,4-Winback,4-Winback,4-Winback,4-Winback,2-Onboarding,1-Active Customer
8,3-Retention,4-Winback,4-Winback,4-Winback,1-Active Customer,2-Onboarding
41,1-Active Customer,3-Retention,3-Retention,1-Active Customer,3-Retention,1-Active Customer
8,3-Retention,3-Retention,4-Winback,4-Winback,2-Onboarding,1-Active Customer
8,4-Winback,1-Active Customer,1-Active Customer,3-Retention,3-Retention,3-Retention
32,3-Retention,4-Winback,4-Winback,4-Winback,3-Retention,3-Retention
598,2-Onboarding,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer
12,3-Retention,4-Winback,4-Winback,1-Active Customer,2-Onboarding,2-Onboarding
3,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,3-Retention
36755,4-Winback,4-Winback,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding
4,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer,3-Retention
1,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,3-Retention
38,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer
1104,1-Active Customer,1-Active Customer,3-Retention,3-Retention,1-Active Customer,1-Active Customer
1,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,4-Winback
1,2-Onboarding,3-Retention,3-Retention,2-Onboarding,2-Onboarding,1-Active Customer
16,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer,3-Retention,3-Retention
730,4-Winback,4-Winback,4-Winback,4-Winback,3-Retention,3-Retention
10,4-Winback,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding
1,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding
186,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
30,3-Retention,4-Winback,4-Winback,4-Winback,4-Winback,3-Retention
18591,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,3-Retention
6,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,2-Onboarding
3,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer
3,2-Onboarding,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer
1377,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer
147123,3-Retention,3-Retention,4-Winback,4-Winback,4-Winback,4-Winback
71,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
171,4-Winback,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer
29,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer
136756,3-Retention,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback
1,4-Winback,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding
1232,3-Retention,4-Winback,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding
91,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,3-Retention,3-Retention
1,2-Onboarding,2-Onboarding,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding
17,4-Winback,4-Winback,4-Winback,2-Onboarding,1-Active Customer,2-Onboarding
83,1-Active Customer,1-Active Customer,2-Onboarding,3-Retention,3-Retention,3-Retention
3,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer,3-Retention,3-Retention
100,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,3-Retention
29,3-Retention,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,3-Retention
664,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer
115,4-Winback,4-Winback,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer
21,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer
33,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding
2,3-Retention,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding
3,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding
121,4-Winback,4-Winback,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding
24,4-Winback,4-Winback,4-Winback,3-Retention,1-Active Customer,1-Active Customer
8,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,1-Active Customer
3,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding
2,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,3-Retention
492,4-Winback,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
17,4-Winback,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding
1,3-Retention,4-Winback,4-Winback,4-Winback,1-Active Customer,3-Retention
875,3-Retention,3-Retention,3-Retention,1-Active Customer,3-Retention,3-Retention
1,4-Winback,4-Winback,4-Winback,3-Retention,1-Active Customer,3-Retention
2,3-Retention,4-Winback,4-Winback,4-Winback,3-Retention,2-Onboarding
8,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer
65,3-Retention,1-Active Customer,3-Retention,3-Retention,1-Active Customer,1-Active Customer
1,3-Retention,4-Winback,4-Winback,1-Active Customer,1-Active Customer,3-Retention
1,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,3-Retention,1-Active Customer
24,2-Onboarding,3-Retention,3-Retention,1-Active Customer,3-Retention,3-Retention
1098,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
20,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
17,4-Winback,4-Winback,1-Active Customer,3-Retention,3-Retention,3-Retention
20123,3-Retention,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
1,1-Active Customer,2-Onboarding,3-Retention,3-Retention,3-Retention,1-Active Customer
15,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,3-Retention,2-Onboarding
37,3-Retention,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention
42,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding
2,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,2-Onboarding,3-Retention
6,3-Retention,3-Retention,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer
13,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer
3,4-Winback,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
2,2-Onboarding,3-Retention,3-Retention,1-Active Customer,3-Retention,1-Active Customer
48,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,3-Retention,3-Retention
1132,3-Retention,3-Retention,4-Winback,4-Winback,4-Winback,2-Onboarding
538,2-Onboarding,3-Retention,3-Retention,3-Retention,1-Active Customer,1-Active Customer
9,3-Retention,4-Winback,4-Winback,1-Active Customer,1-Active Customer,2-Onboarding
62,3-Retention,1-Active Customer,3-Retention,3-Retention,3-Retention,1-Active Customer
9,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding
86,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
2,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding
2047,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer
16,1-Active Customer,3-Retention,3-Retention,2-Onboarding,3-Retention,3-Retention
2,2-Onboarding,2-Onboarding,3-Retention,1-Active Customer,3-Retention,1-Active Customer
1,3-Retention,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
1,3-Retention,2-Onboarding,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer
2,2-Onboarding,1-Active Customer,3-Retention,3-Retention,3-Retention,1-Active Customer
1,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,3-Retention,1-Active Customer
60,3-Retention,3-Retention,1-Active Customer,3-Retention,3-Retention,1-Active Customer
1,1-Active Customer,3-Retention,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer
6,1-Active Customer,2-Onboarding,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer
122,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,3-Retention
104586,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,3-Retention
52,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,3-Retention
3,1-Active Customer,1-Active Customer,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer
5,3-Retention,3-Retention,3-Retention,1-Active Customer,2-Onboarding,2-Onboarding
3,3-Retention,3-Retention,3-Retention,4-Winback,2-Onboarding,1-Active Customer
2,2-Onboarding,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,3-Retention
1,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer
184,3-Retention,4-Winback,4-Winback,4-Winback,4-Winback,1-Active Customer
178,3-Retention,3-Retention,4-Winback,4-Winback,1-Active Customer,1-Active Customer
8,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer
134,3-Retention,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
41,3-Retention,2-Onboarding,3-Retention,3-Retention,3-Retention,3-Retention
